Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,BASE,9.69,NA,NA,NA,NA,8.981221466064452,8.15,9.1,8.777777972,NA,aliphatic_amine,NA,"4.9643726, 9.1",0,2
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,BASE,9.6,9.559253768920899,NA,NA,NA,9.4118510055542,9.4,9.14,8.652604486,alcohol,aliphatic_amine,13.95,9.14,1,1
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,BASE,8.92,NA,NA,NA,NA,8.920314445495606,8.43,9.2,8.54165249,NA,aliphatic_amine,NA,9.2,0,1
Zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,ACID,NA,8.79338701248169,6.88,9.47,NA,10.024857978820801,NA,NA,NA,alcohol,heterocyclic_N_basic_polyhet,"13.17, 9.47",2.17,2,1
Abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,BASE,NA,9.062962131500244,NA,NA,NA,9.507510833740234,5.31,5.67,5.011136259,alcohol,aliphatic_amine,"13.78, 13.22, 13.57, 13.57","4.11, 4.5, 4.67, 4.84, 5.67, 4.84",4,6
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,ACID,8.56,9.32494005203247,8.66,NA,NA,3.6708833980560303,NA,4.37,NA,acidic_amide,heterocyclic_N_basic_5ring_polyhet,"11.41, 11.41","1.595423, 4.37",2,2
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,ACID,NA,7.689782295227051,7.64,NA,NA,NA,NA,NA,NA,alcohol,NA,"12.57, 13.49",NA,2,0
Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,BASE,6.7,8.735058574676513,NA,NA,NA,6.234577522277832,6.15,6.77,7.030093638,acidic_aniline,heterocyclic_N_basic_polyhet,"13.52, 13.52","5.66, 6.55, 5.46, 6.77",2,4
Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,ACID,NA,10.033016815185547,11.66,10.11,NA,NA,NA,NA,3.096985475,alcohol,NA,"10.11, 12.81",NA,2,0
Ethanol,CCO,ACID,NA,9.790678672790527,12.31,NA,NA,NA,NA,NA,NA,alcohol,NA,13.86,NA,1,0
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,ACID,11.5,9.969268321990967,9.42,10.98,8.430040315,NA,NA,4.89,NA,acidic_amide,NA,"11.08, 10.98",4.89,2,1
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,BASE,7.3,NA,NA,NA,NA,7.376978378295899,7.35,7.8,7.59669736,NA,aliphatic_amine,NA,"5.412375, 7.2, 7.8",0,3
Pantoprazole,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,BASE,5.845000000000001,NA,NA,9.28,9.042854793,7.281350135803223,0.36,5.18,4.651135685,NA,heterocyclic_N_basic_5ring_polyhet,9.28,"5.18, 3.96",1,2
