Drug,MolWt,ExactMolWt,HeavyAtomMolWt,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,MolLogP,MolMR,RingCount,NumAromaticRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,HeavyAtomCount,NumHeteroatoms,NumHeterocycles,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,qed,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,NumAmideBonds,Phi,SPS,NHOHCount,NOCount
DOTHIEPIN,295.451,295.139470672,274.28299999999996,3.24,0,2,3,4.675700000000004,92.69500000000005,3,2,1,2,0,0,1,0,0,0,21,2,1,0.2631578947368421,-1.5099999999999998,14.428222481005053,6.50379711452785,3.2240662322812885,131.2306016361924,0.8088707188299813,14.656489770562878,12.672934652230099,13.489431233157825,10.254020195423491,7.4086315908747,8.394230150528188,5.651731947012883,6.6689086218299565,3.792715741036061,4.915057742563291,2.7115302451163505,3.782554206057051,0,0,0,4.468487225701263,15.666666666666666,0,1
DOXEPIN,279.383,279.162314292,258.2149999999999,12.47,0,2,3,3.9624000000000033,87.46600000000005,3,2,1,2,0,0,1,0,0,0,21,2,1,0.2631578947368421,-2.0599999999999996,13.901814763425588,6.146844081766772,3.006125990520758,126.22103684033402,0.8428637069733037,14.656489770562878,12.672934652230099,12.672934652230099,10.254020195423491,7.4086315908747,7.4086315908747,5.651731947012883,5.651731947012883,3.792715741036061,3.792715741036061,2.7115302451163505,2.7115302451163505,0,0,0,4.069156562113357,15.285714285714286,0,2
DULOXETINE,297.423,297.11873522800005,278.2709999999999,21.259999999999998,1,3,6,4.630900000000003,90.17970000000005,3,3,0,2,1,0,0,0,0,0,21,3,1,0.2222222222222222,-1.8399999999999992,14.112237163246272,6.74349609375,3.25673052665814,128.93370099840905,0.7159243797705694,14.493353063746348,12.081563104386708,12.898059685314434,10.381341395361318,7.206838633214242,8.086491444469138,4.991425816450355,5.9706981246128095,3.5359058956771525,4.500263501424251,2.460887731980953,3.2500365058227065,1,0,0,4.5317055325916575,12.428571428571429,1,2
ESCITALOPRAM,324.39900000000006,324.16379151200005,303.231,36.26,0,3,5,3.812980000000003,90.91400000000006,3,2,1,2,0,0,1,0,0,0,24,4,1,0.35,-2.2199999999999998,16.631264146178772,6.721078415843811,3.0558017290424,141.8336970713098,0.8388667572429986,17.156489770562878,14.05051896354658,14.05051896354658,11.547679167567427,8.132551129043144,8.132551129043144,6.513142221613115,6.513142221613115,4.5881904390397406,4.5881904390397406,3.40870910235363,3.40870910235363,1,0,0,4.657501270044967,19.291666666666668,0,3
FLUOXETINE,309.33099999999996,309.134048856,291.18699999999995,21.259999999999998,1,2,6,4.435000000000003,79.79870000000004,2,2,0,2,0,0,0,0,0,0,22,5,0,0.29411764705882354,-2.0099999999999993,16.362054933938236,7.312920644092164,4.4948540227076474,127.47322151943769,0.8517964099245682,16.001789232183626,12.2298579637609,12.2298579637609,10.503349863289461,7.0393007383621145,7.0393007383621145,4.931541664038123,4.931541664038123,3.2878685536430825,3.2878685536430825,2.1235066311368174,2.1235066311368174,1,1,0,5.438836786643953,12.909090909090908,1,2
FLUVOXAMINE,318.339,318.155512572,297.171,56.84,1,4,9,3.201500000000001,78.71440000000003,1,1,0,1,0,0,0,0,0,0,22,7,0,0.5333333333333333,-1.6,18.449019607843134,9.423875114784204,6.444981257809245,127.62883049920973,0.432027738820179,16.424438962994,12.526995628522782,12.526995628522782,10.485711773084422,7.041895138855419,7.041895138855419,4.684895194043451,4.684895194043451,2.9413736260678456,2.9413736260678456,1.809394085756957,1.809394085756957,0,0,0,7.902784398841761,12.5,2,4
HYDRALAZINE,160.17999999999998,160.074896256,152.11599999999999,63.83,2,4,1,0.9153999999999998,47.34810000000002,2,2,0,1,1,0,0,0,0,0,12,4,1,0,-1.6799999999999997,6.99549850790995,2.7488119763581453,0.9807788404338078,69.38070608238566,0.48055416610873897,8.38890505706126,6.358528806137672,6.358528806137672,5.91501490017253,3.5865062258763922,3.5865062258763922,2.4247643124082683,2.4247643124082683,1.7071845668031875,1.7071845668031875,1.1345267220211275,1.1345267220211275,0,0,0,1.6024425065948673,10.083333333333334,3,4
HYDROMORPHONE,285.34299999999996,285.136493468,266.1909999999999,49.77,1,4,0,1.6302999999999999,76.67080000000004,5,1,4,1,0,2,2,2,1,1,21,4,2,0.5882352941176471,-1.55,12.04000459172308,3.609883762957393,1.2019387356524531,123.25157651569276,0.7869335307088955,14.353006672199017,12.133209023808512,12.133209023808512,10.125864216121359,7.876396692221595,7.876396692221595,7.099754521277423,7.099754521277423,6.385909370548719,6.385909370548719,5.520443558618369,5.520443558618369,4,0,0,2.0696674800758856,39.857142857142854,1,4
HYDROXYCHLOROQUINE,335.8790000000001,335.176440132,309.671,48.39,2,4,9,3.783000000000002,98.27150000000005,2,2,0,1,1,0,0,0,0,0,23,5,1,0.5,-1.3599999999999994,17.985553072207168,9.062254640025788,5.341836349421254,143.0243904946372,0.7317801043771166,16.656489770562878,13.926347561766145,14.6822765077846,11.134560252985372,8.277121803144688,8.655086276153915,5.865465663102048,6.3019014435740335,4.081594676579745,4.316691779367483,2.775269670050694,2.94161322509199,1,1,0,7.086507034001715,12.73913043478261,2,4
IMIPRAMINE,280.415,280.193948768,256.22299999999996,6.48,0,2,4,3.8750000000000027,90.46900000000007,3,2,1,2,0,0,1,0,0,0,21,2,1,0.3684210526315789,-1.7999999999999994,14.150516197935207,6.314843310189529,3.108345481049562,127.55692831321477,0.8384623265941307,14.656489770562878,13.048763250449664,13.048763250449664,10.254020195423491,7.835903638099349,7.835903638099349,6.065891941848764,6.065891941848764,4.215547540145039,4.215547540145039,3.1561689443320082,3.1561689443320082,0,0,0,4.255156788012367,13.761904761904763,0,2
