Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final
PENTOXIFYLLINE,CHEMBL628,278.31,78.89,0,7,0.19,1,2,"1, 1",FLAG: contains 0 or 1,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,NA,NA,NA,ChEMBL_Fu,1
PROPYLTHIOURACIL,CHEMBL1518,170.24,48.65,2,2,1.38,0.18,1,0.18,NA,CCCc1cc(=O)[nH]c(=S)[nH]1,NA,NA,NA,ChEMBL_Fu,0.18
QUETIAPINE,CHEMBL716,383.52,48.30,1,6,2.86,NA,0,NA,NA,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,NA,NA,0,NA,NA
REBOXETINE,CHEMBL14370,313.40,39.72,1,4,3.19,0.0325,2,"0.019, 0.046",NA,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,NA,NA,NA,ChEMBL_Fu,0.0325
THEOBROMINE,CHEMBL1114,180.17,72.68,1,5,-1.04,NA,0,NA,NA,Cn1cnc2c1c(=O)[nH]c(=O)n2C,NA,NA,0,NA,NA
THIOPENTAL SODIUM,CHEMBL738,264.33,58.20,2,3,1.35,NA,0,NA,NA,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],NA,NA,0,NA,NA
LABETALOL,CHEMBL429,328.41,95.58,4,4,2.14,0.5,3,"0.5, 0.5, 0.961",NA,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,NA,NA,NA,ChEMBL_Fu,0.5
ACITRETIN,CHEMBL1131,326.44,46.53,1,2,5.17,NA,0,NA,NA,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,NA,NA,0,NA,NA
FLURBIPROFEN,CHEMBL563,244.26,37.30,1,1,3.68,0.982,1,0.982,NA,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,NA,NA,NA,ChEMBL_Fu,0.982
IBUPROFEN,CHEMBL521,206.28,37.30,1,1,3.07,0.006,5,"0.006, 0.962, 0.006, 0.0023, 0.000122",NA,CC(C)Cc1ccc(C(C)C(=O)O)cc1,NA,NA,NA,ChEMBL_Fu,0.006
MESALAMINE,CHEMBL704,153.14,83.55,3,3,0.67,0.39,1,0.39,NA,Nc1ccc(O)c(C(=O)O)c1,NA,NA,NA,ChEMBL_Fu,0.39
NELFINAVIR,CHEMBL584,567.80,101.90,4,6,4.75,NA,0,NA,NA,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,NA,NA,0,NA,NA
OXCARBAZEPINE,CHEMBL1068,252.27,63.40,1,2,2.64,NA,0,NA,NA,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,NA,NA,0,NA,NA
PIROXICAM,CHEMBL527,331.35,99.60,2,5,1.58,NA,0,NA,NA,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,99.15,0.008499999999999952,4,ChEMBL_PPB,0.008499999999999952
PROBENECID,CHEMBL897,285.37,74.68,1,3,2.20,0.13,1,0.13,NA,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,NA,NA,NA,ChEMBL_Fu,0.13
QUINAPRIL,CHEMBL1592,438.52,95.94,2,5,2.57,NA,0,NA,NA,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,95.82,0.04180000000000006,1,ChEMBL_PPB,0.04180000000000006
SULFASALAZINE,CHEMBL421,398.40,141.31,3,7,3.70,NA,0,NA,NA,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,NA,NA,0,NA,NA
WARFARIN,CHEMBL1464,308.33,67.51,1,4,3.61,0.011,10,"0.015, 0.295, 0.006, 0.013, 0.014, 0.009, 0.008, 0.0062, 0.0041, 0.05",NA,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,NA,NA,NA,ChEMBL_Fu,0.011
ALBENDAZOLE,CHEMBL1483,265.34,67.01,2,4,3.24,NA,0,NA,NA,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,95.43,0.04569999999999996,1,ChEMBL_PPB,0.04569999999999996
ARIPIPRAZOLE,CHEMBL1112,448.39,44.81,1,4,4.86,0.006,2,"0.01, 0.002",NA,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,NA,NA,NA,ChEMBL_Fu,0.006
CITALOPRAM,CHEMBL549,324.40,36.26,0,3,3.81,0.2,3,"0.2, 0.2, 0.047",NA,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,NA,NA,NA,ChEMBL_Fu,0.2
DAPSONE,CHEMBL1043,248.31,86.18,2,4,1.68,0.25,2,"0.25, 0.25",NA,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,NA,NA,NA,ChEMBL_Fu,0.25
EFAVIRENZ,CHEMBL223228,315.68,38.33,1,2,4.07,0.0049499999999999995,2,"0.0052, 0.0047",NA,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,NA,NA,NA,ChEMBL_Fu,0.0049499999999999995
LOPINAVIR,CHEMBL729,628.81,120.00,4,5,4.33,NA,0,NA,NA,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,NA,NA,0,NA,NA
LORATADINE,CHEMBL998,382.89,42.43,0,3,4.89,NA,0,NA,NA,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,NA,NA,0,NA,NA
NAPROXEN,CHEMBL154,230.26,46.53,1,2,3.04,0.01,3,"0.989, 0.01, 1.21e-05",NA,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,NA,NA,NA,ChEMBL_Fu,0.01
NEFAZODONE,CHEMBL623,470.02,55.53,0,7,3.55,0.009,3,"0.009, 0.009, 0.01",NA,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,NA,NA,NA,ChEMBL_Fu,0.009
PHENACETIN,CHEMBL16073,179.22,38.33,1,2,2.04,0.8785000000000001,4,"0.47, 0.78, 0.98, 0.977",NA,CCOc1ccc(NC(C)=O)cc1,NA,NA,NA,ChEMBL_Fu,0.8785000000000001
PROPAFENONE,CHEMBL631,341.45,58.56,2,4,3.24,0.05,4,"0.05, 0.05, 0.038, 0.783",NA,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,NA,NA,NA,ChEMBL_Fu,0.05
QUAZEPAM,CHEMBL1200472,386.80,15.60,0,2,5.03,NA,0,NA,NA,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,NA,NA,0,NA,NA
TERFENADINE,CHEMBL17157,471.69,43.70,2,3,6.45,NA,0,NA,NA,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,99.16,0.008400000000000074,1,ChEMBL_PPB,0.008400000000000074
TOLMETIN,CHEMBL1020,257.29,59.30,1,3,2.19,NA,0,NA,NA,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,99.7,0.0030000000000000027,3,ChEMBL_PPB,0.0030000000000000027
TRAZODONE,CHEMBL621,371.87,45.78,0,6,2.36,0.07350000000000001,4,"0.07, 0.07, 0.077, 0.98",NA,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,NA,NA,NA,ChEMBL_Fu,0.07350000000000001
