Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
MAPROTILINE,CHEMBL21731,277.41,12.03,1,1,4.21,0.11499999999999999,2,"0.12, 0.11",NA,CNCCCC12CCC(c3ccccc31)c1ccccc12,NA,NA,NA,ChEMBL_Fu,0.11499999999999999,10.5,5,"10.5, 10.5, 10.5, 10.6, 10.5",2.01,2,"1.12, 2.9"
METHADONE,CHEMBL651,309.45,20.31,0,2,4.29,0.16,2,"0.11, 0.21",NA,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,NA,NA,NA,ChEMBL_Fu,0.16,8.775,2,"8.25, 9.3",NA,0,NA
METHYLPHENIDATE,CHEMBL796,233.31,38.33,1,3,2.09,0.85,1,0.85,NA,COC(=O)C(c1ccccc1)C1CCCCN1,NA,NA,NA,ChEMBL_Fu,0.85,9.24,2,"9.24, 9.24",0.125,2,"-0.15, 0.4"
METOPROLOL,CHEMBL13,267.37,50.72,2,4,1.61,0.89,4,"0.89, 0.89, 0.88, 0.974",NA,COCCc1ccc(OCC(O)CNC(C)C)cc1,NA,NA,NA,ChEMBL_Fu,0.89,9.7,17,"9.6, 9.7, 9.7, 9.7, 9.7, 9.18, 6.55, 9.63, 9.7, 9.18, 2.45, 9.56, 9.7, 9.7, 13.74, 9.7, 9.17",-0.16,7,"0.07, -0.16, -0.24, 0.07, -0.37, 0.05, -0.28"
METRONIDAZOLE,CHEMBL137,171.16,81.19,1,5,0.09,0.89,3,"0.89, 0.89, 0.96",NA,Cc1ncc([N+](=O)[O-])n1CCO,NA,NA,NA,ChEMBL_Fu,0.89,0,1,0,-0.02,2,"-0.02, -0.02"
MIANSERIN,CHEMBL6437,264.37,6.48,0,2,3.08,0.839,1,0.839,NA,CN1CCN2c3ccccc3Cc3ccccc3C2C1,NA,NA,NA,ChEMBL_Fu,0.839,7.1,3,"7.1, 7.1, 8.4",4.08,1,4.08
MINOXIDIL,CHEMBL802,209.25,95.11,2,5,-0.13,NA,0,NA,NA,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],NA,NA,0,NA,NA,4.6,1,4.6,NA,0,NA
MORPHINE,CHEMBL70,285.34,52.93,2,4,1.20,0.65,3,"0.65, 0.61, 0.65",NA,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,NA,NA,NA,ChEMBL_Fu,0.65,8.18,15,"8.18, 8.18, 9.26, 9.26, 9.46, 8.18, 8.17, 8.13, 9.6, 7.93, 8.18, 8.18, 8.18, 8.3, 7.93",-0.07500000000000001,4,"-0.07, -0.02, -0.08, -0.44"
NALTREXONE,CHEMBL19019,341.41,70.00,2,5,1.53,0.79,1,0.79,NA,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,NA,NA,NA,ChEMBL_Fu,0.79,8.1,1,8.1,NA,0,NA
NICOTINE,CHEMBL3,162.24,16.13,0,2,1.85,0.95,3,"0.95, 0.95, 0.95",NA,CN1CCC[C@H]1c1cccnc1,NA,NA,NA,ChEMBL_Fu,0.95,8.08,9,"8.1, 8.1, 8, 8.08, 3.4, 7.66, 7.9, 8.11, 8.1",0.4,1,0.4
